[17:2:19.45]	uppercomputer initialization failed!
[17:2:22.792]	initial timer start
[17:2:22.888]	startMove!
[17:2:22.889]	move successfully!
[17:2:22.890]	3.276151 
-2.137232 
-1.283601 
-1.306906 
1.547885 
0.782724 

[17:2:22.890]	the robot is not ready
[17:2:22.922]	the robot is not ready
[17:2:22.952]	the robot is not ready
[17:2:22.983]	the robot is not ready
[17:2:23.15]	the robot is not ready
[17:2:23.47]	the robot is not ready
[17:2:23.79]	the robot is not ready
[17:2:23.110]	the robot is not ready
[17:2:23.141]	the robot is not ready
[17:2:23.172]	the robot is not ready
[17:2:23.203]	the robot is not ready
[17:2:23.235]	the robot is not ready
[17:2:23.266]	the robot is not ready
[17:2:23.297]	the robot is not ready
[17:2:23.328]	the robot is not ready
[17:2:23.359]	the robot is not ready
[17:2:23.390]	the robot is not ready
[17:2:23.422]	the robot is not ready
[17:2:23.453]	the robot is not ready
[17:2:23.484]	the robot is not ready
[17:2:23.515]	the robot is not ready
[17:2:23.546]	the robot is not ready
[17:2:23.576]	the robot is not ready
[17:2:23.607]	the robot is not ready
[17:2:23.638]	the robot is not ready
[17:2:23.669]	the robot is not ready
[17:2:23.700]	the robot is not ready
[17:2:23.731]	the robot is not ready
[17:2:23.762]	the robot is not ready
[17:2:23.793]	the robot is not ready
[17:2:23.824]	the robot is not ready
[17:2:23.855]	the robot is not ready
[17:2:23.886]	the robot is not ready
[17:2:23.916]	the robot is not ready
[17:2:23.947]	the robot is not ready
[17:2:23.978]	the robot is not ready
[17:2:24.9]	the robot is not ready
[17:2:24.40]	the robot is not ready
[17:2:24.71]	the robot is not ready
[17:2:24.122]	the robot is not ready
[17:2:24.161]	the robot is not ready
[17:2:24.193]	the robot is not ready
[17:2:24.224]	the robot is not ready
